State,District
Uttarakhand,Nainital
Uttarakhand,Dehradun
Uttarakhand,Almora
Uttarakhand,Champawat
Uttarakhand,Uttarkashi
Uttarakhand,Garhwal
Uttarakhand,Haridwar
Uttarakhand,Rudraprayag
Uttarakhand,Tehri Garhwal
Uttarakhand,Bageshwar
Uttarakhand,Pithoragarh
Uttarakhand,Chamoli
Uttarakhand,Udham Singh Nagar
Himachal Pradesh,Chamba
Himachal Pradesh,Shimla
Himachal Pradesh,Bilaspur
Himachal Pradesh,Kangra
Himachal Pradesh,Lahul & Spiti
Himachal Pradesh,Una
Himachal Pradesh,Solan
Himachal Pradesh,Sirmaur
Himachal Pradesh,Kinnaur
Himachal Pradesh,Mandi
Himachal Pradesh,Kullu
Himachal Pradesh,Hamirpur
Ladakh,No Jurisdiction
Jammu and Kashmir,Anantnag
Jammu and Kashmir,Baramulla
Jammu and Kashmir,Kulgam
Jammu and Kashmir,Shopian
Jammu and Kashmir,Reasi
Jammu and Kashmir,Rajouri
Jammu and Kashmir,Jammu
Ladakh,Leh
Jammu and Kashmir,Srinagar
Jammu and Kashmir,Poonch
Jammu and Kashmir,Kupwara
Jammu and Kashmir,Samba
Jammu and Kashmir,Bandipora
Jammu and Kashmir,Kathua
Ladakh,Kargil
Jammu and Kashmir,Kishtwar
Gujarat,Sabarkantha
Gujarat,Banaskantha
Gujarat,Surendranagar
Gujarat,Anand
Gujarat,Narmada
Gujarat,Amreli
Gujarat,Dahod
Jammu and Kashmir,Doda
Jammu and Kashmir,Pulwama
Gujarat,Vadodara
Gujarat,Aravali
Jammu and Kashmir,Ramban
Jammu and Kashmir,Ganderbal
Jammu and Kashmir,Udhampur
Jammu and Kashmir,Budgam
Diu and Daman,Daman
Diu and Daman,Diu
Gujarat,Bhavnagar
Gujarat,Ahmedabad
Gujarat,Chhota Udaipur
Gujarat,Botad
Gujarat,Rajkot
Gujarat,Kachchh
Gujarat,The Dangs
Gujarat,Mahesana
Gujarat,Patan
Gujarat,Bharuch
Gujarat,Gir Somnath
Gujarat,Junagadh
Gujarat,Devbhumi Dwarka
Gujarat,Navsari
Gujarat,Surat
Gujarat,Jamnagar
Gujarat,Tapi
Gujarat,Kheda
Madhya Pradesh,Betul
Madhya Pradesh,Hoshangabad
Madhya Pradesh,Sehore
Madhya Pradesh,Jabalpur
Madhya Pradesh,Narsinghpur
Madhya Pradesh,Panna
Madhya Pradesh,Ujjain
Madhya Pradesh,Rewa
Madhya Pradesh,Dindori
Madhya Pradesh,Balaghat
Madhya Pradesh,Barwani
Gujarat,Porbandar
Gujarat,Valsad
Gujarat,Gandhinagar
Gujarat,Mahisagar
Gujarat,Morbi
Gujarat,Panchmahal
Dadra & Nagar Haveli,Dadra & Nagar Haveli
Madhya Pradesh,Ashoknagar
Madhya Pradesh,Raisen
Madhya Pradesh,Chhindwara
Bihar,Patna
Madhya Pradesh,Satna
Madhya Pradesh,Chhatarpur
Madhya Pradesh,Indore
Madhya Pradesh,Ratlam
Madhya Pradesh,Harda
Madhya Pradesh,Sagar
Madhya Pradesh,Neemuch
Madhya Pradesh,Tikamgarh
Madhya Pradesh,Guna
Madhya Pradesh,Dewas
Madhya Pradesh,Mandsaur
Madhya Pradesh,Khargone
Madhya Pradesh,Sheopur
Madhya Pradesh,Morena
Madhya Pradesh,Bhind
Madhya Pradesh,Jhabua
Madhya Pradesh,Seoni
Madhya Pradesh,Khandwa
Madhya Pradesh,Umaria
Madhya Pradesh,Gwalior
Madhya Pradesh,Damoh
Madhya Pradesh,Dhar
Madhya Pradesh,Katni
Madhya Pradesh,Sidhi
Madhya Pradesh,Alirajpur
Madhya Pradesh,Singrauli
Madhya Pradesh,Bhopal
Madhya Pradesh,Rajgarh
Madhya Pradesh,Mandla
Madhya Pradesh,Shajapur
Madhya Pradesh,Shivpuri
Madhya Pradesh,Datia
Madhya Pradesh,Shahdol
Madhya Pradesh,Vidisha
Andhra Pradesh,Prakasham
Andhra Pradesh,Krishna
Madhya Pradesh,Burhanpur
Madhya Pradesh,Anuppur
Andhra Pradesh,East Godavari
Andhra Pradesh,Visakapatnam
Andhra Pradesh,Nellore
Andhra Pradesh,Chittoor
Andhra Pradesh,Srikakulam
Andhra Pradesh,Kurnool
Andhra Pradesh,Guntur
Andhra Pradesh,Vizianagaram
Andhra Pradesh,Ananthapur
Andhra Pradesh,West Godavari
Andhra Pradesh,Kadapa
Kerala,Kannur
Kerala,Pathanamthitta
Kerala,Alappuzha
Kerala,Ernakulam
Kerala,Kollam
Kerala,Kasaragod
Kerala,Idukki
Kerala,Kozhikode
Kerala,Kottayam
Kerala,Thrissur
Kerala,Palakkad
Kerala,Thiruvananthapuram
Kerala,Malappuram
Kerala,Wayanad
Kerala,Lakshadweep
Sikkim,North Sikkim
Sikkim,East Sikkim
West Bengal,Nadia
West Bengal,South Dinajpur
Sikkim,South Sikkim
Sikkim,West Sikkim
West Bengal,Murshidabad
West Bengal,Barddhaman
West Bengal,Bankura
West Bengal,Purulia
West Bengal,Coochbehar
West Bengal,paschim Medinpur
West Bengal,Hooghly
West Bengal,Calcutta
West Bengal,Malda
West Bengal,South Twenty Four Parganas
West Bengal,Darjeeling
West Bengal,Jalpaiguri
West Bengal,North Dinajpur
West Bengal,Purba Medinipur
West Bengal,Howrah
West Bengal,North Twenty Four Parganas
West Bengal,Birbhum
Jharkhand,Jamtara
Jharkhand,Seraikella
Jharkhand,Simdega
Jharkhand,Latehar
Jharkhand,Khunti
Jharkhand,Pashchimi Singhbhum
Jharkhand,Hazaribagh
Jharkhand,Chatra
Jharkhand,Purbi Singhbhum
Jharkhand,Koderma
Jharkhand,Giridih
Jharkhand,Bokaro
Jharkhand,Deoghar
Jharkhand,Gumla
Jharkhand,Ramgarh
Jharkhand,Garhwa
Jharkhand,Ranchi
Jharkhand,Pakur
Jharkhand,Lohardaga
Jharkhand,Sahibganj
Jharkhand,Godda
Jharkhand,Palamu
Bihar,Arwal
Bihar,Bhagalpur
Bihar,Purnea
Bihar,Madhepura
Jharkhand,Dhanbad
Jharkhand,Dumka
Bihar,Kishanganj
Bihar,Gaya
Bihar,Banka
Bihar,Aurangabad
Bihar,Nawada
Bihar,Araria
Bihar,Bettiah
Bihar,Muzaffarpur
Bihar,Saran
Bihar,Sheikhpura
Bihar,Jehanabad
Bihar,Saharsa
Bihar,Gopalganj
Bihar,Vaishali
Bihar,Siwan
Bihar,Sheohar
Bihar,Buxar
Bihar,Madhubani
Bihar,Supaul
Bihar,Bhojpur
Bihar,Darbhanga
Bihar,Samastipur
Bihar,Kaimur
Bihar,Rohtas Sasaram
Bihar,Khagaria
Bihar,Munger
Bihar,Sitamarhi
Bihar,Motihari
Bihar,Lakhisarai
Bihar,Jamui
Bihar,Begusarai
Bihar,Nalanda
Bihar,Katihar
Delhi,West
Haryana,Nuh
Haryana,Jhajjar
Haryana,Bhiwani
Haryana,Kaithal
Delhi,New Delhi
Haryana,Sonepat
Haryana,Karnal
Haryana,Kurukshetra
Haryana,Jind
Haryana,Panipat
Haryana,Mahendragarh
Haryana,Fatehabad
Delhi,East
Delhi,South
Delhi,North West
Delhi,South West
Haryana,Faridabad
Haryana,Sirsa
Haryana,Hisar
Delhi,Central
Haryana,Rewari
Haryana,Rohtak
Haryana,Ambala
Chandigarh,Chandigarh
Delhi,North East
Punjab,Patiala
Punjab,Tarn Taran
Punjab,Kapurthala
Punjab,Fatehgarh Sahib
Punjab,Sangrur
Delhi,North
Haryana,Gurugram
Haryana,Yamunanagar
Haryana,Palwal
Haryana,Panchkula
Punjab,Pathankot
Punjab,Gurdaspur
Punjab,Mansa
Punjab,Amritsar
Punjab,Faridkot
Punjab,Ludhiana
Punjab,Bathinda
Punjab,Jalandhar
Punjab,Moga
Punjab,Hoshiarpur
Punjab,Sri Muktsar Sahib
Punjab,Rupnagar
Punjab,Ferozepur
Punjab,Fazilka
Punjab,Barnala
Punjab,Mohali
Punjab,Sbs Nagar
Karnataka,Mandya
Karnataka,Mysuru
Karnataka,Chikkaballapur
Karnataka,Yadgir
Karnataka,Chikkamagaluru
Karnataka,Chitradurga
Karnataka,Haveri
Karnataka,Dakshina Kannada
Karnataka,Raichur
Karnataka,Kolar
Karnataka,Vijayapura
Karnataka,Uttara Kannada
Karnataka,Davangere
Karnataka,Dharwad
Karnataka,Bidar
Karnataka,Chamrajnagar
Karnataka,Kalaburagi
Karnataka,Gadag
Karnataka,Udupi
Karnataka,Bagalkot
Karnataka,Hassan
Karnataka,Shivamogga
Karnataka,Ballari
Karnataka,Kodagu
Karnataka,Bengaluru Rural
Karnataka,Tumakuru
Karnataka,Belagavi
Karnataka,Koppal
Karnataka,Bengaluru
Karnataka,Ramanagaram
Maharashtra,Washim
Maharashtra,Ahmednagar
Maharashtra,Latur
Maharashtra,Solapur
Maharashtra,Nashik
Maharashtra,Osmanabad
Maharashtra,Sindhudurg
Maharashtra,Kolhapur
Maharashtra,Chandrapur
Maharashtra,Akola
Maharashtra,Parbhani
Maharashtra,Yavatmal
Maharashtra,Nanded
Maharashtra,Dhule
Maharashtra,Satara
Maharashtra,Sangli
Maharashtra,Hingoli
Maharashtra,Pune
Maharashtra,Gondia
Maharashtra,Amravati
Maharashtra,Nandurbar
Maharashtra,Ratnagiri
Maharashtra,Wardha
Maharashtra,Aurangabad
Maharashtra,Buldhana
Maharashtra,Gadchiroli
Maharashtra,Jalgaon
Maharashtra,Raigad
Maharashtra,Bhandara
Maharashtra,Beed
Maharashtra,Jalna
Maharashtra,Thane
Maharashtra,Palghar
Pondicherry,Yanam
Manipur,Tamenglong
Maharashtra,Mumbai
Mizoram,Lunglei
Mizoram,Kolasib
Mizoram,Lawngtlai
Mizoram,Saiha
Mizoram,Champhai
Mizoram,Serchhip
Mizoram,Aizawl
Mizoram,Mamit
Manipur,Chandel
Maharashtra,Mumbai Suburban
Maharashtra,Nagpur
Goa,North Goa
Goa,South Goa
Andaman and Nicobar,Port Blair
Andaman and Nicobar,Port Blair
Andaman and Nicobar,Port Blair
Pondicherry,Karaikal
Pondicherry,Puducherry
Pondicherry,Mahe
Manipur,Ukhrul
Manipur,Bishnupur
Manipur,Churachandpur
Manipur,Thoubal
Manipur,Imphal East
Manipur,Senapati
Manipur,Imphal West
Nagaland,Mon
Nagaland,Tuensang
Nagaland,Mokokchung
Nagaland,Longleng
Nagaland,Phek
Nagaland,Kohima
Nagaland,Wokha
Nagaland,Zunheboto
Nagaland,Kiphire
Nagaland,Dimapur
Nagaland,Peren
Arunachal Pradesh,Lohit
Arunachal Pradesh,West Siang
Arunachal Pradesh,Upper Subansiri
Arunachal Pradesh,Changlang
Arunachal Pradesh,Tirap
Arunachal Pradesh,Lower Subansiri
Arunachal Pradesh,East Kameng
Arunachal Pradesh,Upper Siang
Arunachal Pradesh,Anjaw
Arunachal Pradesh,East Siang
Arunachal Pradesh,Dibang Valley
Arunachal Pradesh,Kurung Kumey
Arunachal Pradesh,West Kameng
Arunachal Pradesh,Lower Dibang Valley
Arunachal Pradesh,Tawang
Arunachal Pradesh,Papum Pare
Assam,Goalpara
Assam,Baksa
Assam,Nagaon
Assam,Nalbari
Assam,Dhubri
Assam,Sivasagar
Assam,Karimganj
Assam,Tinsukia
Assam,Hailakandi
Assam,Chirang
Assam,Cachar
Assam,Darrang
Assam,Kamrup
Assam,Dibrugarh
Assam,Barpeta
Assam,Dhemaji
Assam,Sonitpur
Assam,Udalguri
Assam,Morigaon
Assam,Karbi Anglong
Assam,Lakhimpur
Assam,Golaghat
Assam,Dima Hasao
Assam,Bongaigaon
Meghalaya,West Jaintia Hills
Assam,Kamrup Metro
Assam,Kokrajhar
Assam,Jorhat
Tripura,Khowai
Tripura,Sipahijula
Tripura,West Tripura
Tripura,Dhalai
Tripura,Unokoti
Tripura,North Tripura
Tripura,Gomati
Tripura,South Tripura
Meghalaya,South Garo Hills
Meghalaya,Ri Bhoi
Meghalaya,East Khasi Hills
Meghalaya,West Khasi Hills
Meghalaya,South West Khasi Hills
Meghalaya,West Garo Hills
Meghalaya,East Garo Hills
Meghalaya,North Garo Hills
Orissa,Sonepur
Orissa,Puri
Orissa,Anugul
Orissa,Deogarh
Orissa,Koraput
Meghalaya,South West Garo Hills
Meghalaya,East Jaintia Hills
Orissa,Nabarangpur
Orissa,Bargarh
Orissa,Jagatsinghpur
Orissa,Kandhamal
Orissa,Khurda
Orissa,Mayurbhanj
Orissa,Malkangiri
Orissa,Balasore
Orissa,Sambalpur
Orissa,Gajapati
Orissa,Dhenkanal
Orissa,Nayagarh
Orissa,Cuttack
Orissa,Jajpur
Orissa,Kalahandi
Orissa,Boudh
Orissa,Keonjhar
Orissa,Kendrapada
Orissa,Ganjam
Orissa,Sundargarh
Orissa,Bhadrak
Orissa,Nuapada
Orissa,Rayagada
Orissa,Balangir
Orissa,Jharsuguda
Chhattisgarh,Bemetara
Chhattisgarh,Bastar
Chhattisgarh,Mungeli
Chhattisgarh,Bilaspur
Chhattisgarh,Gariaband
Chhattisgarh,Kabirdham
Chhattisgarh,Sukma
Chhattisgarh,Kanker
Chhattisgarh,Balodabazar
Chhattisgarh,Balod
Chhattisgarh,Dantewada
Chhattisgarh,Surguja
Chhattisgarh,Balrampur
Chhattisgarh,Kondagaon
Chhattisgarh,Narayanpur
Chhattisgarh,Durg
Chhattisgarh,Surajpur
Chhattisgarh,Bijapur
Chhattisgarh,Raipur
Chhattisgarh,Koriya
Chhattisgarh,Dhamtari
Chhattisgarh,Korba
Chhattisgarh,Raigarh
Chhattisgarh,Jashpur
Chhattisgarh,Mahasamund
Chhattisgarh,Rajnandgaon
Rajasthan,Jhunjhunu
Rajasthan,Jaiselmer
Rajasthan,Sikar
Rajasthan,Hanumangarh
Rajasthan,Nagaur
Rajasthan,Barmer
Rajasthan,Ganganagar
Rajasthan,Jodhpur
Rajasthan,Churu
Rajasthan,Bikaner
Rajasthan,Pratapgarh
Chhattisgarh,Janjgir
Rajasthan,Bhilwara
Rajasthan,Tonk
Rajasthan,Bundi
Rajasthan,Jaipur
Rajasthan,Kota
Rajasthan,Pali
Rajasthan,Rajsamand
Rajasthan,Ajmer
Rajasthan,Bharatpur
Rajasthan,Dungarpur
Rajasthan,Chittorgarh
Rajasthan,Udaipur
Rajasthan,Jalore
Rajasthan,Dausa
Rajasthan,Sirohi
Tamil Nadu,Ariyalur
Tamil Nadu,Sivagangai
Tamil Nadu,Thanjavur
Tamil Nadu,Tiruvannamalai
Tamil Nadu,Ramanathapuram
Tamil Nadu,Tirunelveli
Tamil Nadu,Virudhunagar
Tamil Nadu,Tiruvarur
Tamil Nadu,Tiruvallur
Tamil Nadu,Tiruchirappalli
Tamil Nadu,Tiruppur
Tamil Nadu,Madurai
Tamil Nadu,Karur
Tamil Nadu,Dharmapuri
Tamil Nadu,Namakkal
Uttar Pradesh,Moradabad
Uttar Pradesh,Sambhal
Uttar Pradesh,Budaun
Uttar Pradesh,Kanshi Ram Nagar
Uttar Pradesh,Bahraich
Uttar Pradesh,Hapur
Uttar Pradesh,Sitapur
Uttar Pradesh,Shamli
Uttar Pradesh,Shravasti
Tamil Nadu,Theni
Tamil Nadu,Salem
Tamil Nadu,Perambalur
Tamil Nadu,Dindigul
Uttar Pradesh,Meerut
Uttar Pradesh,Aligarh
Uttar Pradesh,Bulandshahr
Uttar Pradesh,Bijnor
Uttar Pradesh,Baghpat
Uttar Pradesh,Lakhimpur Kheri
Uttar Pradesh,Rampur
Uttar Pradesh,Bareilly
Uttar Pradesh,Mathura
Uttar Pradesh,Etah
Uttar Pradesh,Hardoi
Uttar Pradesh,Balrampur
Uttar Pradesh,Hathras
Uttar Pradesh,Shahjahanpur
Uttar Pradesh,Farrukhabad
Uttar Pradesh,Kannauj
Uttar Pradesh,Pilibhit
Uttar Pradesh,Mainpuri
Uttar Pradesh,Jyotiba Phule Nagar
Uttar Pradesh,Firozabad
Uttar Pradesh,Sultanpur
Uttar Pradesh,Chitrakoot
Uttar Pradesh,Basti
Uttar Pradesh,Gorakhpur
Uttar Pradesh,Lucknow
Uttar Pradesh,Azamgarh
Uttar Pradesh,Faizabad
Uttar Pradesh,Ambedkar Nagar
Uttar Pradesh,Ballia
Uttar Pradesh,Kanpur Nagar
Uttar Pradesh,Bhadohi SR Nagar
Uttar Pradesh,Siddharthnagar
Uttar Pradesh,Santkabir Nagar
Uttar Pradesh,Kaushambi
Uttar Pradesh,Jalaun
Uttar Pradesh,Varanasi
Uttar Pradesh,Auraiya
Uttar Pradesh,Pratapgarh
Uttar Pradesh,Hamirpur
Uttar Pradesh,Gonda
Uttar Pradesh,Kanpur Dehat
Uttar Pradesh,Jaunpur
Uttar Pradesh,Barabanki
Uttar Pradesh,Mahoba
Uttar Pradesh,Maharajganj
Uttar Pradesh,Mirzapur
Uttar Pradesh,Kushinagar
Uttar Pradesh,Deoria
Uttar Pradesh,Unnao
Uttar Pradesh,Fatehpur
Uttar Pradesh,Mau
Uttar Pradesh,Raebareli
Uttar Pradesh,Amethi
Uttar Pradesh,Ghaziabad
Uttar Pradesh,Muzaffarnagar
Uttar Pradesh,Gautam Buddha Nagar
Uttar Pradesh,Saharanpur
Uttar Pradesh,Etawah
Uttar Pradesh,Agra
Tamil Nadu,Cuddalore
Tamil Nadu,Pudukkottai
Tamil Nadu,Vellore
Uttar Pradesh,Chandauli
Uttar Pradesh,Jhansi
Uttar Pradesh,Banda
Uttar Pradesh,Sonbhadra
Uttar Pradesh,Lalitpur
Uttar Pradesh,Ghazipur
Tamil Nadu,Krishnagiri
Tamil Nadu,Erode
Tamil Nadu,Coimbatore
Telangana,Warangal
Tamil Nadu,Chennai
Tamil Nadu,Nagapattinam
Tamil Nadu,Viluppuram
Tamil Nadu,Kancheepuram
Rajasthan,Banswara
Tamil Nadu,Kanniyakumari
Tamil Nadu,Thoothukudi
Uttar Pradesh,Allahabad
Tamil Nadu,The Nilgiris
Rajasthan,Jhalawar
Rajasthan,Alwar
Rajasthan,Baran
Rajasthan,Karauli
Rajasthan,Dholpur
Rajasthan,Sawai Madhopur
Telangana,Jangaon
Telangana,Mancherial
Telangana,Bhadradri
Telangana,Hyderabad
Telangana,Karimnagar
Telangana,Nizamabad
Telangana,Medak
Telangana,Rangareddy
Telangana,Nalgonda
Telangana,Nagarkurnool
Telangana,Adilabad
Telangana,Komaram Bheem
Telangana,Nirmal
Telangana,Jagtial
Telangana,Kamareddy
Telangana,Warangal (U)
Telangana,Jayashankar
Telangana,Peddapalli
Telangana,Rajanna Sircilla
Telangana,Sangareddy
Telangana,Siddipet
Telangana,Mahabubabad
Telangana,Khammam
Telangana,Suryapet
Telangana,Jogulamba
Telangana,Yadadri
Telangana,Medchal
Telangana,Wanaparthy
Telangana,Vikarabad
Telangana,Mahabubnagar
